"package","version"
"R","3.5.0"
"grDevices","3.5.0"
"graphics","3.5.0"
"utils","3.5.0"
"stats","3.5.0"
"methods","3.5.0"
"tools","3.5.0"
"assertthat","0.2.0"
"crayon","1.3.4"
"cli","1.0.0"
"rlang","0.2.0"
"utf8","1.1.3"
"grid","3.5.0"
"pillar","1.2.2"
"Rcpp","0.12.19"
"colorspace","1.3-2"
"glue","1.2.0"
"later","0.7.2"
"lattice","0.20-35"
"magrittr","1.5"
"R6","2.2.2"
"stringi","1.1.7"
"tibble","1.4.2"
"bindr","0.1.1"
"bit","1.1-14"
"dichromat","2.0-0"
"digest","0.6.15"
"jsonlite","1.5"
"labeling","0.3"
"Matrix","1.2-14"
"munsell","0.4.3"
"plyr","1.8.4"
"promises","1.0.1"
"purrr","0.2.4"
"RColorBrewer","1.1-2"
"stringr","1.3.1"
"viridisLite","0.3.0"
"yaml","2.1.19"
"base64enc","0.1-3"
"bindrcpp","0.2.2"
"config","0.3"
"debugme","1.1.0"
"fastmatch","1.1-0"
"ff","2.2-14"
"gtable","0.2.0"
"htmltools","0.3.6"
"httpuv","1.4.3"
"lazyeval","0.2.1"
"MASS","7.3-49"
"mime","0.5"
"pkgconfig","2.0.1"
"reshape2","1.4.3"
"reticulate","1.7"
"rJava","0.9-10"
"rstudioapi","0.7"
"scales","0.5.0"
"sourcetools","0.1.7"
"tidyselect","0.2.4"
"triebeard","0.3.0"
"whisker","0.3-2"
"xtable","1.8-2"
"codetools","0.2-15"
"compiler","3.5.0"
"curl","3.2"
"DatabaseConnectorJars","1.0.0"
"DBI","1.0.0"
"dplyr","0.7.4"
"ffbase","0.12.7"
"ggplot2","2.2.1"
"iterators","1.0.10"
"openssl","1.0.1"
"processx","3.0.3"
"shiny","1.0.5"
"splines","3.5.0"
"SqlRender","1.6.0"
"tfruns","1.3"
"urltools","1.7.0"
"bitops","1.0-6"
"crosstalk","1.0.0"
"data.table","1.11.2"
"DatabaseConnector","2.2.1"
"foreach","1.4.4"
"hexbin","1.27.2"
"htmlwidgets","1.2"
"httr","1.3.1"
"parallel","3.5.0"
"RcppParallel","4.4.0"
"shape","1.4.4"
"snow","0.4-2"
"survival","2.41-3"
"tensorflow","1.5"
"tidyr","0.8.0"
"uuid","0.1-2"
"XML","3.98-1.13"
"xml2","1.2.0"
"zeallot","0.1.0"
"zip","1.0.0"
"AUC","0.3.0"
"Cyclops","1.3.2"
"diagram","1.6.4"
"doParallel","1.0.11"
"FeatureExtraction","2.2.1"
"gridExtra","2.3"
"keras","2.1.6"
"officer","0.3.1"
"ParallelLogger","1.1.0"
"plotly","4.7.1"
"PRROC","1.3.1"
"RCurl","1.95-4.10"
"RJSONIO","1.3-0"
"slam","0.1-43"
"survAUC","1.0-5"
"xgboost","0.6.4.1"
"PatientLevelPrediction","3.0.0"
